,source,target,type
2387,A820,B779,Both
2388,A55,B116,Both
2389,A565,B894,Both
2390,A811,B450,Both
2391,A448,B823,Both
2392,A971,B474,Both
2393,A282,B194,Both
2394,A693,B995,Both
2395,A893,B782,Both
2396,A266,B667,Both
2397,A635,B980,Both
2398,A232,B994,Both
2399,A150,B35,Both
2400,A625,B398,Both
2401,A677,B850,Both
2402,A406,B342,Both
2403,A520,B124,Both
2404,A406,B668,Both
2405,A777,B152,Both
2406,A671,B157,Both
2407,A306,B150,Both
2408,A494,B617,Both
2409,A81,B293,Both
2410,A225,B856,Both
2411,A554,B414,Both
2412,A979,B658,Both
2413,A625,B220,Both
2414,A124,B672,Both
2415,A616,B465,Both
2416,A353,B95,Both
2417,A475,B310,Both
2418,A666,B521,Both
2419,A489,B66,Both
2420,A582,B427,Both
2421,A508,B254,Both
2422,A958,B200,Both
2423,A298,B631,Both
2424,A181,B659,Both
2425,A601,B34,Both
2426,A350,B971,Both
2427,A459,B367,Both
2428,A410,B385,Both
2429,A173,B906,Both
2430,A299,B657,Both
2431,A747,B249,Both
2432,A724,B704,Both
2433,A784,B483,Both
2434,A775,B207,Both
2435,A344,B248,Both
2436,A450,B374,Both
2437,A875,B897,Both
2438,A682,B349,Both
2439,A535,B318,Both
2440,A925,B528,Both
2441,A994,B523,Both
2442,A793,B568,Both
2443,A62,B721,Both
2444,A40,B278,Both
2445,A721,B418,Both
2446,A155,B158,Both
2447,A769,B797,Both
2448,A77,B919,Both
2449,A345,B207,Both
2450,A261,B772,Both
2451,A331,B98,Both
2452,A630,B976,Both
2453,A85,B541,Both
2454,A697,B869,Both
2455,A246,B83,Both
2456,A767,B361,Both
2457,A863,B368,Both
2458,A128,B242,Both
2459,A411,B176,Both
2460,A263,B206,Both
2461,A751,B596,Both
2462,A603,B213,Both
2463,A945,B401,Both
2464,A29,B510,Both
2465,A961,B700,Both
2466,A27,B39,Both
2467,A57,B656,Both
2468,A982,B426,Both
2469,A692,B394,Both
2470,A593,B515,Both
2471,A779,B495,Both
2472,A81,B403,Both
2473,A260,B829,Both
2474,A663,B250,Both
2475,A830,B83,Both
2476,A144,B638,Both
2477,A124,B480,Both
2478,A658,B147,Both
2479,A693,B867,Both
2480,A564,B415,Both
2481,A530,B641,Both
2482,A204,B174,Both
2483,A911,B130,Both
2484,A958,B548,Both
2485,A255,B769,Both
2486,A718,B61,Both
2487,A767,B881,Both
2488,A353,B329,Both
2489,A609,B992,Both
2490,A391,B614,Both
2491,A600,B35,Both
2492,A690,B518,Both
2493,A519,B495,Both
2494,A821,B839,Both
2495,A14,B635,Both
2496,A344,B474,Both
2497,A739,B648,Both
2498,A213,B482,Both
2499,A484,B986,Both
2500,A729,B104,Both
2501,A479,B713,Both
2502,A75,B587,Both
2503,A225,B685,Both
2504,A479,B965,Both
2505,A461,B609,Both
2506,A777,B137,Both
2507,A675,B137,Both
2508,A953,B276,Both
2509,A740,B558,Both
2510,A587,B134,Both
2511,A459,B176,Both
2512,A489,B514,Both
2513,A364,B774,Both
2514,A544,B579,Both
2515,A971,B351,Both
2516,A48,B882,Both
2517,A395,B995,Both
2518,A757,B0,Both
2519,A179,B673,Both
2520,A942,B394,Both
2521,A55,B616,Both
2522,A608,B6,Both
2523,A11,B865,Both
2524,A525,B706,Both
2525,A381,B40,Both
2526,A70,B485,Both
2527,A487,B898,Both
2528,A859,B717,Both
2529,A537,B356,Both
2530,A252,B312,Both
2531,A285,B236,Both
2532,A979,B526,Both
2533,A16,B292,Both
2534,A183,B858,Both
2535,A778,B952,Both
2536,A411,B391,Both
2537,A577,B792,Both
2538,A554,B50,Both
2539,A737,B448,Both
2540,A73,B186,Both
2541,A438,B618,Both
2542,A164,B841,Both
2543,A165,B37,Both
2544,A86,B124,Both
2545,A176,B827,Both
2546,A634,B818,Both
2547,A362,B709,Both
2548,A295,B781,Both
2549,A56,B181,Both
2550,A893,B702,Both
2551,A403,B116,Both
2552,A470,B835,Both
2553,A206,B225,Both
2554,A492,B703,Both
2555,A582,B674,Both
2556,A305,B77,Both
2557,A194,B205,Both
2558,A741,B833,Both
2559,A73,B886,Both
2560,A153,B272,Both
2561,A297,B496,Both
2562,A532,B60,Both
2563,A658,B614,Both
2564,A501,B757,Both
2565,A328,B930,Both
2566,A746,B518,Both
2567,A858,B12,Both
2568,A91,B780,Both
2569,A578,B457,Both
2570,A908,B603,Both
2571,A932,B823,Both
2572,A127,B783,Both
2573,A744,B45,Both
2574,A210,B107,Both
2575,A718,B19,Both
2576,A230,B147,Both
2577,A858,B255,Both
2578,A410,B42,Both
2579,A961,B420,Both
2580,A532,B773,Both
2581,A523,B880,Both
2582,A174,B238,Both
2583,A530,B175,Both
2584,A243,B629,Both
2585,A695,B535,Both
2586,A862,B298,Both
2587,A31,B12,Both
2588,A232,B433,Both
2589,A962,B324,Both
2590,A410,B289,Both
2591,A781,B777,Both
2592,A261,B73,Both
2593,A146,B955,Both
2594,A811,B821,Both
2595,A544,B974,Both
2596,A478,B792,Both
2597,A170,B286,Both
2598,A744,B5,Both
2599,A283,B556,Both
2600,A724,B953,Both
2601,A652,B86,Both
2602,A140,B897,Both
2603,A801,B881,Both
2604,A799,B683,Both
2605,A874,B474,Both
2606,A563,B897,Both
2607,A782,B224,Both
2608,A603,B454,Both
2609,A157,B23,Both
2610,A581,B93,Both
2611,A907,B6,Both
2612,A128,B890,Both
2613,A804,B235,Both
2614,A346,B919,Both
2615,A258,B890,Both
2616,A414,B265,Both
2617,A751,B607,Both
2618,A908,B669,Both
2619,A790,B69,Both
2620,A411,B175,Both
2621,A823,B224,Both
2622,A254,B692,Both
2623,A889,B89,Both
2624,A112,B898,Both
2625,A12,B118,Both
2626,A13,B121,Both
2627,A86,B374,Both
2628,A0,B76,Both
2629,A348,B916,Both
2630,A498,B19,Both
2631,A34,B832,Both
2632,A505,B388,Both
2633,A861,B700,Both
2634,A396,B36,Both
2635,A86,B600,Both
2636,A708,B540,Both
2637,A834,B4,Both
2638,A695,B772,Both
2639,A24,B394,Both
2640,A482,B268,Both
2641,A143,B725,Both
2642,A188,B408,Both
2643,A963,B79,Both
2644,A38,B511,Both
2645,A514,B841,Both
2646,A556,B818,Both
2647,A957,B125,Both
2648,A601,B776,Both
2649,A700,B642,Both
2650,A842,B233,Both
2651,A573,B693,Both
2652,A546,B700,Both
2653,A481,B964,Both
2654,A727,B432,Both
2655,A863,B842,Both
2656,A700,B108,Both
2657,A59,B479,Both
2658,A766,B353,Both
2659,A566,B780,Both
2660,A910,B97,Both
2661,A148,B734,Both
2662,A514,B764,Both
2663,A798,B985,Both
2664,A666,B799,Both
2665,A495,B999,Both
2666,A234,B293,Both
2667,A711,B594,Both
2668,A881,B895,Both
2669,A250,B38,Both
2670,A217,B835,Both
2671,A104,B474,Both
2672,A451,B904,Both
2673,A936,B23,Both
2674,A269,B353,Both
2675,A498,B161,Both
2676,A91,B467,Both
2677,A243,B170,Both
2678,A442,B495,Both
2679,A798,B908,Both
2680,A314,B343,Both
2681,A618,B579,Both
2682,A890,B830,Both
2683,A142,B274,Both
2684,A486,B816,Both
2685,A374,B315,Both
2686,A507,B649,Both
2687,A485,B29,Both
2688,A453,B677,Both
2689,A991,B171,Both
2690,A434,B330,Both
2691,A635,B637,Both
2692,A453,B608,Both
2693,A627,B762,Both
2694,A445,B811,Both
2695,A412,B149,Both
2696,A205,B825,Both
2697,A448,B471,Both
2698,A385,B730,Both
2699,A886,B494,Both
2700,A818,B801,Both
2701,A316,B388,Both
2702,A900,B532,Both
2703,A357,B854,Both
2704,A785,B3,Both
2705,A674,B686,Both
2706,A365,B159,Both
2707,A559,B48,Both
2708,A55,B609,Both
2709,A915,B108,Both
2710,A581,B16,Both
2711,A220,B266,Both
2712,A571,B799,Both
2713,A919,B87,Both
2714,A452,B290,Both
2715,A600,B800,Both
2716,A79,B167,Both
2717,A305,B628,Both
2718,A635,B530,Both
2719,A234,B253,Both
2720,A125,B318,Both
2721,A185,B880,Both
2722,A516,B356,Both
2723,A598,B537,Both
2724,A578,B496,Both
2725,A756,B662,Both
2726,A939,B478,Both
2727,A468,B594,Both
2728,A459,B542,Both
2729,A268,B146,Both
2730,A703,B46,Both
2731,A376,B653,Both
2732,A757,B771,Both
2733,A495,B116,Both
2734,A725,B573,Both
2735,A181,B498,Both
2736,A629,B837,Both
2737,A381,B110,Both
2738,A964,B784,Both
2739,A323,B805,Both
2740,A35,B102,Both
2741,A844,B577,Both
2742,A343,B780,Both
2743,A963,B292,Both
2744,A631,B339,Both
2745,A322,B598,Both
2746,A49,B704,Both
2747,A689,B616,Both
2748,A162,B103,Both
2749,A111,B913,Both
2750,A447,B448,Both
2751,A598,B113,Both
2752,A207,B75,Both
2753,A66,B420,Both
2754,A926,B460,Both
2755,A391,B87,Both
2756,A333,B303,Both
2757,A568,B463,Both
2758,A950,B500,Both
2759,A763,B962,Both
2760,A451,B267,Both
2761,A10,B535,Both
2762,A36,B626,Both
2763,A7,B943,Both
2764,A819,B644,Both
2765,A368,B714,Both
2766,A57,B78,Both
2767,A419,B734,Both
2768,A681,B399,Both
2769,A617,B68,Both
2770,A648,B257,Both
2771,A467,B228,Both
2772,A734,B218,Both
2773,A642,B127,Both
2774,A336,B925,Both
2775,A693,B965,Both
2776,A388,B972,Both
2777,A979,B806,Both
2778,A380,B363,Both
2779,A489,B366,Both
2780,A681,B67,Both
2781,A118,B250,Both
2782,A778,B279,Both
2783,A708,B798,Both
2784,A680,B747,Both
2785,A204,B209,Both
2786,A520,B285,Both
2787,A385,B369,Both
2788,A632,B187,Both
2789,A228,B897,Both
2790,A783,B421,Both
2791,A843,B821,Both
2792,A702,B452,Both
2793,A184,B19,Both
2794,A904,B490,Both
2795,A452,B652,Both
2796,A380,B717,Both
2797,A154,B655,Both
2798,A23,B585,Both
2799,A294,B763,Both
2800,A435,B649,Both
2801,A530,B394,Both
2802,A926,B903,Both
2803,A149,B83,Both
2804,A41,B605,Both
2805,A18,B927,Both
2806,A703,B315,Both
2807,A634,B115,Both
2808,A479,B467,Both
2809,A129,B485,Both
2810,A56,B865,Both
2811,A715,B265,Both
2812,A958,B534,Both
2813,A495,B259,Both
2814,A880,B627,Both
2815,A543,B511,Both
2816,A970,B282,Both
2817,A84,B794,Both
2818,A108,B511,Both
2819,A340,B941,Both
2820,A129,B717,Both
2821,A333,B734,Both
2822,A211,B577,Both
2823,A338,B487,Both
2824,A122,B731,Both
2825,A967,B638,Both
2826,A596,B841,Both
2827,A217,B645,Both
2828,A884,B994,Both
2829,A121,B833,Both
2830,A257,B601,Both
2831,A451,B537,Both
2832,A884,B637,Both
2833,A226,B162,Both
2834,A699,B395,Both
2835,A505,B721,Both
2836,A819,B891,Both
2837,A89,B401,Both
2838,A269,B28,Both
2839,A305,B270,Both
2840,A3,B576,Both
2841,A335,B545,Both
2842,A23,B860,Both
2843,A433,B63,Both
2844,A755,B746,Both
2845,A698,B37,Both
2846,A793,B56,Both
2847,A861,B226,Both
2848,A172,B350,Both
2849,A308,B224,Both
2850,A626,B821,Both
2851,A35,B726,Both
2852,A718,B701,Both
2853,A113,B772,Both
2854,A899,B877,Both
2855,A310,B761,Both
2856,A335,B915,Both
2857,A724,B399,Both
2858,A177,B572,Both
2859,A236,B346,Both
2860,A687,B965,Both
2861,A964,B493,Both
2862,A395,B535,Both
2863,A977,B921,Both
2864,A742,B4,Both
2865,A2,B590,Both
2866,A673,B55,Both
2867,A142,B309,Both
2868,A598,B649,Both
2869,A709,B252,Both
2870,A318,B345,Both
2871,A517,B173,Both
2872,A460,B716,Both
2873,A915,B431,Both
2874,A654,B258,Both
2875,A269,B808,Both
2876,A415,B433,Both
2877,A765,B32,Both
2878,A405,B781,Both
2879,A424,B753,Both
2880,A6,B932,Both
2881,A861,B245,Both
2882,A526,B74,Both
2883,A977,B335,Both
2884,A854,B84,Both
2885,A267,B946,Both
2886,A866,B664,Both
2887,A978,B450,Both
2888,A481,B981,Both
2889,A651,B517,Both
2890,A92,B475,Both
2891,A598,B748,Both
2892,A207,B967,Both
2893,A244,B903,Both
2894,A961,B810,Both
2895,A0,B977,Both
2896,A943,B29,Both
2897,A37,B796,Both
2898,A626,B82,Both
2899,A367,B983,Both
2900,A126,B466,Both
2901,A729,B309,Both
2902,A258,B694,Both
2903,A325,B973,Both
2904,A157,B591,Both
2905,A380,B300,Both
2906,A279,B972,Both
2907,A62,B368,Both
2908,A520,B844,Both
2909,A516,B733,Both
2910,A450,B327,Both
2911,A436,B435,Both
2912,A302,B771,Both
2913,A220,B15,Both
2914,A237,B115,Both
2915,A872,B819,Both
2916,A639,B302,Both
2917,A957,B657,Both
2918,A453,B232,Both
2919,A364,B920,Both
2920,A979,B161,Both
2921,A934,B896,Both
2922,A22,B281,Both
2923,A806,B511,Both
2924,A237,B25,Both
2925,A460,B35,Both
2926,A230,B535,Both
2927,A224,B964,Both
2928,A226,B653,Both
2929,A764,B107,Both
2930,A345,B664,Both
2931,A933,B578,Both
2932,A12,B474,Both
2933,A828,B127,Both
2934,A787,B543,Both
2935,A484,B181,Both
2936,A501,B215,Both
2937,A475,B681,Both
2938,A952,B668,Both
2939,A614,B162,Both
2940,A644,B66,Both
2941,A643,B913,Both
2942,A306,B230,Both
2943,A311,B62,Both
2944,A304,B873,Both
2945,A867,B978,Both
2946,A824,B674,Both
2947,A800,B920,Both
2948,A227,B487,Both
2949,A591,B500,Both
2950,A257,B288,Both
2951,A561,B622,Both
2952,A594,B770,Both
2953,A890,B64,Both
2954,A645,B218,Both
2955,A71,B184,Both
2956,A518,B382,Both
2957,A158,B307,Both
2958,A75,B110,Both
2959,A750,B904,Both
2960,A104,B776,Both
2961,A396,B528,Both
2962,A982,B103,Both
2963,A35,B0,Both
2964,A853,B316,Both
2965,A926,B411,Both
2966,A141,B129,Both
2967,A11,B187,Both
2968,A48,B332,Both
2969,A510,B207,Both
2970,A650,B408,Both
2971,A397,B100,Both
2972,A15,B81,Both
2973,A581,B885,Both
2974,A189,B299,Both
2975,A331,B317,Both
2976,A634,B736,Both
2977,A637,B251,Both
2978,A877,B158,Both
2979,A297,B474,Both
2980,A0,B647,Both
2981,A485,B902,Both
2982,A996,B643,Both
2983,A255,B696,Both
2984,A956,B593,Both
2985,A991,B831,Both
2986,A18,B768,Both
2987,A788,B916,Both
2988,A389,B290,Both
2989,A631,B914,Both
2990,A719,B842,Both
2991,A100,B169,Both
2992,A256,B990,Both
2993,A724,B720,Both
2994,A205,B392,Both
2995,A224,B451,Both
2996,A63,B277,Both
2997,A254,B799,Both
2998,A797,B423,Both
2999,A952,B671,Both
3000,A76,B783,Both
3001,A346,B719,Both
3002,A257,B602,Both
3003,A642,B410,Both
3004,A534,B273,Both
3005,A810,B716,Both
3006,A746,B711,Both
3007,A865,B827,Both
3008,A638,B519,Both
3009,A987,B81,Both
3010,A184,B295,Both
3011,A732,B319,Both
3012,A802,B320,Both
3013,A968,B355,Both
3014,A741,B981,Both
3015,A519,B337,Both
3016,A51,B261,Both
3017,A681,B175,Both
3018,A541,B920,Both
3019,A502,B401,Both
3020,A232,B472,Both
3021,A158,B259,Both
3022,A968,B762,Both
3023,A234,B693,Both
3024,A39,B502,Both
3025,A909,B120,Both
3026,A698,B27,Both
3027,A982,B954,Both
3028,A477,B21,Both
3029,A412,B556,Both
3030,A681,B473,Both
3031,A481,B270,Both
3032,A604,B538,Both
3033,A346,B680,Both
3034,A439,B259,Both
3035,A421,B713,Both
3036,A630,B174,Both
3037,A876,B679,Both
3038,A480,B420,Both
3039,A812,B203,Both
3040,A713,B759,Both
3041,A620,B184,Both
3042,A563,B656,Both
3043,A524,B854,Both
3044,A132,B665,Both
3045,A399,B983,Both
3046,A678,B945,Both
3047,A267,B528,Both
3048,A273,B645,Both
3049,A995,B638,Both
3050,A244,B224,Both
3051,A920,B60,Both
3052,A239,B585,Both
3053,A188,B933,Both
3054,A72,B274,Both
3055,A815,B584,Both
3056,A326,B547,Both
3057,A741,B489,Both
3058,A875,B264,Both
3059,A210,B413,Both
3060,A399,B845,Both
3061,A929,B566,Both
3062,A812,B474,Both
3063,A383,B437,Both
3064,A177,B911,Both
3065,A163,B566,Both
3066,A835,B950,Both
3067,A849,B758,Both
3068,A45,B240,Both
3069,A417,B686,Both
3070,A205,B539,Both
3071,A698,B605,Both
3072,A885,B710,Both
3073,A313,B967,Both
3074,A76,B830,Both
3075,A929,B571,Both
3076,A644,B381,Both
3077,A786,B713,Both
3078,A871,B864,Both
3079,A449,B646,Both
3080,A242,B383,Both
3081,A30,B447,Both
3082,A455,B259,Both
3083,A360,B125,Both
3084,A336,B580,Both
3085,A223,B762,Both
3086,A822,B329,Both
3087,A819,B705,Both
3088,A817,B686,Both
3089,A558,B453,Both
3090,A312,B549,Both
3091,A549,B701,Both
3092,A672,B236,Both
3093,A357,B269,Both
3094,A418,B587,Both
3095,A241,B307,Both
3096,A497,B318,Both
3097,A641,B274,Both
3098,A568,B235,Both
3099,A209,B632,Both
3100,A853,B856,Both
3101,A749,B546,Both
3102,A227,B301,Both
3103,A78,B502,Both
3104,A161,B517,Both
3105,A528,B321,Both
3106,A218,B285,Both
3107,A573,B992,Both
3108,A999,B970,Both
3109,A329,B204,Both
3110,A530,B839,Both
3111,A151,B111,Both
3112,A716,B909,Both
3113,A685,B471,Both
3114,A829,B210,Both
3115,A48,B931,Both
3116,A328,B468,Both
3117,A167,B799,Both
3118,A870,B151,Both
3119,A297,B735,Both
3120,A967,B398,Both
3121,A444,B971,Both
3122,A605,B141,Both
3123,A903,B966,Both
3124,A178,B896,Both
3125,A165,B738,Both
3126,A991,B516,Both
3127,A556,B952,Both
3128,A59,B494,Both
3129,A639,B88,Both
3130,A220,B289,Both
3131,A840,B367,Both
3132,A459,B573,Both
3133,A737,B142,Both
3134,A58,B316,Both
3135,A868,B364,Both
3136,A962,B811,Both
3137,A542,B550,Both
3138,A293,B203,Both
3139,A537,B480,Both
3140,A888,B414,Both
3141,A203,B829,Both
3142,A817,B163,Both
3143,A628,B314,Both
3144,A898,B550,Both
3145,A777,B817,Both
3146,A923,B4,Both
3147,A683,B293,Both
3148,A121,B364,Both
3149,A576,B976,Both
3150,A251,B986,Both
3151,A777,B71,Both
3152,A793,B395,Both
3153,A126,B477,Both
3154,A195,B911,Both
3155,A716,B566,Both
3156,A48,B931,Both
3157,A803,B328,Both
3158,A228,B920,Both
3159,A707,B763,Both
3160,A281,B336,Both
3161,A812,B394,Both
3162,A534,B807,Both
3163,A973,B846,Both
3164,A488,B499,Both
3165,A812,B399,Both
3166,A331,B718,Both
3167,A268,B731,Both
3168,A458,B896,Both
3169,A739,B313,Both
3170,A43,B614,Both
3171,A264,B294,Both
3172,A250,B876,Both
3173,A117,B408,Both
3174,A348,B1,Both
3175,A514,B441,Both
3176,A536,B863,Both
3177,A143,B970,Both
3178,A548,B252,Both
3179,A230,B142,Both
3180,A609,B30,Both
3181,A155,B618,Both
3182,A369,B497,Both
3183,A879,B399,Both
3184,A465,B529,Both
3185,A815,B641,Both
3186,A998,B437,Both
3187,A644,B426,Both
3188,A255,B624,Both
3189,A864,B852,Both
3190,A348,B434,Both
3191,A423,B490,Both
3192,A417,B216,Both
3193,A903,B731,Both
3194,A820,B67,Both
3195,A794,B927,Both
3196,A842,B859,Both
3197,A23,B199,Both
3198,A909,B392,Both
3199,A290,B749,Both
3200,A298,B745,Both
3201,A311,B711,Both
3202,A464,B467,Both
3203,A814,B802,Both
3204,A259,B254,Both
3205,A834,B709,Both
3206,A356,B952,Both
3207,A865,B700,Both
3208,A642,B578,Both
3209,A875,B42,Both
3210,A679,B415,Both
3211,A28,B432,Both
3212,A234,B788,Both
3213,A995,B200,Both
3214,A552,B627,Both
3215,A376,B507,Both
3216,A800,B59,Both
3217,A923,B743,Both
3218,A871,B691,Both
3219,A290,B501,Both
3220,A927,B919,Both
3221,A130,B251,Both
3222,A518,B365,Both
3223,A649,B56,Both
3224,A182,B145,Both
3225,A497,B377,Both
3226,A905,B36,Both
3227,A89,B867,Both
3228,A144,B668,Both
3229,A790,B52,Both
3230,A436,B138,Both
3231,A356,B337,Both
3232,A702,B42,Both
3233,A514,B185,Both
3234,A156,B112,Both
3235,A526,B548,Both
3236,A911,B687,Both
3237,A648,B957,Both
3238,A224,B664,Both
3239,A642,B54,Both
3240,A448,B340,Both
3241,A495,B918,Both
3242,A107,B345,Both
3243,A141,B758,Both
3244,A2,B854,Both
3245,A886,B324,Both
3246,A419,B202,Both
3247,A376,B364,Both
3248,A470,B640,Both
3249,A313,B585,Both
3250,A811,B411,Both
3251,A570,B972,Both
3252,A747,B992,Both
3253,A149,B825,Both
3254,A290,B521,Both
3255,A145,B226,Both
3256,A174,B691,Both
3257,A983,B643,Both
3258,A502,B447,Both
3259,A738,B734,Both
3260,A975,B83,Both
3261,A373,B87,Both
3262,A699,B804,Both
3263,A976,B825,Both
3264,A570,B295,Both
3265,A888,B501,Both
3266,A128,B575,Both
3267,A375,B777,Both
3268,A415,B176,Both
3269,A477,B541,Both
3270,A9,B21,Both
3271,A203,B889,Both
3272,A81,B138,Both
3273,A264,B799,Both
3274,A701,B859,Both
3275,A894,B117,Both
3276,A936,B578,Both
3277,A530,B540,Both
3278,A699,B32,Both
3279,A436,B735,Both
3280,A216,B962,Both
3281,A858,B374,Both
3282,A412,B551,Both
3283,A718,B146,Both
3284,A750,B101,Both
3285,A137,B882,Both
3286,A870,B797,Both
3287,A78,B688,Both
3288,A245,B548,Both
3289,A807,B581,Both
3290,A144,B449,Both
3291,A433,B289,Both
3292,A166,B218,Both
3293,A559,B717,Both
3294,A478,B262,Both
3295,A794,B936,Both
3296,A749,B25,Both
3297,A800,B733,Both
3298,A600,B310,Both
3299,A502,B747,Both
3300,A296,B340,Both
3301,A682,B47,Both
3302,A768,B79,Both
3303,A49,B684,Both
3304,A913,B136,Both
3305,A363,B146,Both
3306,A656,B597,Both
3307,A130,B163,Both
3308,A414,B295,Both
3309,A500,B895,Both
3310,A350,B779,Both
3311,A422,B774,Both
3312,A796,B494,Both
3313,A694,B833,Both
3314,A970,B270,Both
3315,A580,B346,Both
3316,A130,B822,Both
3317,A258,B8,Both
3318,A135,B17,Both
3319,A73,B72,Both
3320,A858,B786,Both
3321,A232,B649,Both
3322,A315,B253,Both
3323,A596,B520,Both
3324,A661,B218,Both
3325,A288,B802,Both
3326,A454,B782,Both
3327,A573,B977,Both
3328,A575,B320,Both
3329,A261,B339,Both
3330,A160,B255,Both
3331,A17,B888,Both
3332,A627,B503,Both
3333,A941,B451,Both
3334,A228,B212,Both
3335,A553,B39,Both
3336,A275,B831,Both
3337,A398,B703,Both
3338,A382,B197,Both
3339,A361,B660,Both
3340,A194,B445,Both
3341,A290,B860,Both
3342,A873,B999,Both
3343,A630,B912,Both
3344,A205,B341,Both
3345,A318,B392,Both
3346,A146,B622,Both
3347,A917,B24,Both
3348,A173,B166,Both
3349,A418,B610,Both
3350,A597,B879,Both
3351,A983,B872,Both
3352,A218,B352,Both
3353,A219,B759,Both
3354,A792,B140,Both
3355,A979,B552,Both
3356,A595,B588,Both
3357,A136,B438,Both
3358,A535,B820,Both
3359,A218,B489,Both
3360,A290,B157,Both
3361,A17,B814,Both
3362,A452,B95,Both
3363,A94,B848,Both
3364,A312,B12,Both
3365,A261,B616,Both
3366,A751,B887,Both
3367,A956,B307,Both
3368,A628,B406,Both
3369,A583,B105,Both
3370,A224,B363,Both
3371,A453,B702,Both
3372,A215,B891,Both
3373,A409,B740,Both
3374,A919,B34,Both
3375,A946,B348,Both
3376,A154,B189,Both
3377,A293,B812,Both
3378,A886,B501,Both
3379,A574,B812,Both
3380,A222,B307,Both
3381,A681,B814,Both
3382,A828,B736,Both
3383,A520,B117,Both
3384,A98,B18,Both
3385,A470,B16,Both
3386,A567,B272,Both
3387,A783,B135,Both
3388,A26,B783,Both
3389,A66,B610,Both
3390,A250,B454,Both
3391,A534,B719,Both
3392,A315,B59,Both
3393,A891,B760,Both
3394,A428,B825,Both
3395,A829,B861,Both
3396,A311,B777,Both
3397,A973,B979,Both
3398,A498,B353,Both
3399,A692,B594,Both
3400,A851,B601,Both
3401,A302,B845,Both
3402,A789,B5,Both
3403,A672,B580,Both
3404,A540,B127,Both
3405,A2,B758,Both
3406,A400,B963,Both
3407,A455,B772,Both
3408,A623,B147,Both
3409,A359,B674,Both
3410,A561,B899,Both
3411,A284,B237,Both
3412,A460,B614,Both
3413,A488,B681,Both
3414,A76,B844,Both
3415,A566,B886,Both
3416,A85,B398,Both
3417,A928,B671,Both
3418,A769,B211,Both
3419,A562,B45,Both
3420,A269,B236,Both
3421,A625,B954,Both
3422,A612,B894,Both
3423,A240,B456,Both
3424,A673,B316,Both
3425,A960,B119,Both
3426,A922,B504,Both
3427,A499,B319,Both
3428,A455,B920,Both
3429,A907,B203,Both
3430,A268,B911,Both
3431,A107,B642,Both
3432,A894,B12,Both
3433,A88,B101,Both
3434,A76,B406,Both
3435,A779,B73,Both
3436,A824,B512,Both
3437,A577,B45,Both
3438,A449,B732,Both
3439,A333,B292,Both
3440,A338,B265,Both
3441,A454,B836,Both
3442,A657,B206,Both
3443,A230,B704,Both
3444,A707,B766,Both
3445,A167,B894,Both
3446,A542,B960,Both
3447,A570,B505,Both
3448,A926,B557,Both
3449,A25,B554,Both
3450,A82,B66,Both
3451,A423,B791,Both
3452,A392,B557,Both
3453,A269,B83,Both
3454,A951,B604,Both
3455,A593,B122,Both
3456,A576,B646,Both
3457,A4,B613,Both
3458,A664,B622,Both
3459,A819,B270,Both
3460,A986,B191,Both
3461,A187,B966,Both
3462,A583,B59,Both
3463,A223,B66,Both
3464,A812,B929,Both
3465,A338,B130,Both
3466,A596,B796,Both
3467,A194,B425,Both
3468,A134,B951,Both
3469,A956,B422,Both
3470,A319,B673,Both
3471,A251,B328,Both
3472,A800,B15,Both
3473,A866,B862,Both
3474,A163,B884,Both
3475,A929,B279,Both
3476,A10,B958,Both
3477,A78,B643,Both
3478,A889,B322,Both
3479,A210,B249,Both
3480,A677,B73,Both
3481,A156,B406,Both
3482,A148,B345,Both
3483,A290,B348,Both
3484,A353,B231,Both
3485,A81,B867,Both
3486,A188,B499,Both
3487,A384,B406,Both
3488,A324,B339,Both
3489,A739,B310,Both
3490,A639,B618,Both
3491,A212,B115,Both
3492,A197,B173,Both
3493,A360,B759,Both
3494,A252,B968,Both
3495,A290,B310,Both
3496,A43,B164,Both
3497,A723,B916,Both
3498,A545,B296,Both
3499,A996,B573,Both
3500,A454,B737,Both
3501,A320,B986,Both
3502,A657,B365,Both
3503,A458,B543,Both
3504,A893,B370,Both
3505,A880,B617,Both
3506,A506,B846,Both
3507,A11,B517,Both
3508,A900,B332,Both
3509,A870,B526,Both
3510,A890,B510,Both
3511,A144,B557,Both
3512,A85,B422,Both
3513,A408,B906,Both
3514,A707,B630,Both
3515,A379,B847,Both
3516,A165,B741,Both
3517,A155,B226,Both
3518,A676,B683,Both
3519,A392,B326,Both
3520,A183,B878,Both
3521,A667,B978,Both
3522,A100,B858,Both
3523,A829,B588,Both
3524,A538,B829,Both
3525,A168,B745,Both
3526,A569,B392,Both
3527,A625,B507,Both
3528,A832,B592,Both
3529,A608,B35,Both
3530,A577,B348,Both
3531,A468,B130,Both
3532,A569,B678,Both
3533,A996,B90,Both
3534,A814,B732,Both
3535,A728,B238,Both
3536,A52,B656,Both
3537,A225,B216,Both
3538,A873,B588,Both
3539,A310,B830,Both
3540,A505,B175,Both
3541,A753,B859,Both
3542,A282,B398,Both
3543,A475,B965,Both
3544,A78,B289,Both
3545,A881,B102,Both
3546,A40,B53,Both
3547,A28,B574,Both
3548,A307,B618,Both
3549,A768,B290,Both
3550,A963,B454,Both
3551,A727,B292,Both
3552,A167,B895,Both
